HolderAddress,Balance
0x0000000000002cb29260612e744ec57d9d1fc5c6,779.0925744
0x0000000000002d534ff79e9c69e7fcc742f0be83,1.00E-18
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,9.06E-10
0x000000000035b5e5ad9019092c665357240f594e,4.00E-18
0x00000000003b3cc22af3ae1eac0440bcee416b40,1.00E-18
0x0000000000d41c96294ccdac8612bdfe29c641af,1.00E-18
0x000000000cf26362d67f65071a034211502c1305,17
0x000000005736775feb0c8568e7dee77222a26880,3.00E-18
0x0000000057a888b5dc0a81f02c6f5c3b7d16b183,1.00E-18
0x0000000071e801062eb0544403f66176bba42dc0,1.00E-18
0x00000000751edf02c727ea9d0c1c8e64f169e343,1.00E-18
0x0000000099cb7fc48a935bceb9f05bbae54e8987,7.00E-18
0x00000000b7ca7e12dcc72290d1fe47b2ef14c607,8.00E-18
0x00000000cd47aa64daf64f5144b0d7885754374c,1.00E-18
0x00000000e8080db3ed60313725643d38bec42071,1.00E-18
0x00000000fea1fab3ce021f3bedd21a94d0ba190c,0.02175721
0x00000003cd3aa7e760877f03275621d2692f5841,1
0x000000917de6037d52b1f0a306eecd208405f7cd,1.00E-18
0x000000c52b33fa71614810224771dc8f3255b220,4.00E-18
0x000006eee6e39015cb523aebdd4d0b1855aba682,519.9593107
0x0000a441fbb1fbaadf246539bf253a42abd31494,250
0x0009af4fc4318de8b959a5e8c0f622e297929417,301.3591085
0x000aba3fffb94d769c3aa1b3eacdc237de18802e,3086.108338
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,6.33E-10
0x001d4df51503efa821ac5b3358751ea491a5b07e,214.5645134
0x0023d9ffe7d793895c5da5833d56c737832ead2b,1000.116598
0x0023e7c7886e8650ba5677f44e0da116146c4e4e,1543.084312
0x00283245aa1df391a5831dbf47dad9c6613e336c,85.29042883
0x002a2e668bd9fd7d4aa5783bd6dbd4d5017b2e12,0.01
0x002c310ea1aa9c4ceeb7d4657394a1ad89bacccb,0.01
0x00333300d0dc87279efd678fd335b47be2fefb2e,0.137590774
0x00357c6542397b05c7c645b2e1d214ab2f5757e4,520.4784107
0x0035aeca1e4941c54f911267519983ff16b755c9,135.553772
