HolderAddress,Balance
0x000000003ce0cf2c037493b1dc087204bd7f713e,0.006461
0x0000006daea1723962647b7e189d311d757fb793,433619.8579
0x000000aaee6a496aaf7b7452518781786313400f,0.002285
0x000018bbb8df8de9e3eaf772db1c4eec228ef06c,1.00E-06
0x000206732258d7511fa624127228e6a032718e62,500000.1706
0x0005f124d6a49c29764b1db08546108ca0afeb68,12762.00438
0x00065b1db6db72bf3670c02f3901f8dd17d933b4,137564.5888
0x00071508db163ee69814aad31562f44b787c2d4d,0.000662
0x001076a29493cf2ace3474bfe308688effaf12cb,407930.4577
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,40015.28971
0x001a9d8fc5916cf5a1c43dbca0e937006fa1412a,214.280004
0x002081508bf24ada0e764e2512b7805462c328c8,103.330002
0x002c7d9664832d6e9ecb49eee284cd4470ae8114,0.004325
0x002d7b197fdb0701713769df5ca0edeb1b2e988f,1136.280108
0x00326e37cef76788f6b0cf643c94481d60bd3d58,9.60E-05
0x00495f8d6b6fed0edb10e45ab87454bb0340f246,33488.10793
0x00610d1b203f9ddf2776d8729b0de854f5dce8ed,85652.53765
0x006366325c813728f871c16a7703b818ee1ac6f1,9021.693875
0x0083ba4df668a42f3d96a6c95700562618c14b2a,6164.398504
0x008fe1e16359ca94b3832ee87c3c96a73cad0c49,0.011067
0x0099560ec05a765a6b95443d4039ce1daf24f805,0.010644
0x00a9c0541c3d268799511e907659a26bfd3263ff,1095.000049
0x00b68ac0d7842701728fcb5608e3f5c80d4f1741,156.864685
0x00c67d9d6d3d13b42a87424e145826c467cccd84,0.000542
0x00d3f8284fd1a73bbfeac35a5a2883421da6298d,65
0x00d5615d3446b1719e6ee0684218891bc5a2100c,2.00E-05
0x00e1292600ac56ed618ea67f71e3a70d879d91b7,1000
0x00ef54223e39920406272c95cfea99024095671e,1292.689691
0x01043fc0188f6ac1e73617a7256c358f4a2bb4af,100.000007
0x010462e09d11875b5b17e1d800951919423f9616,98.606362
0x010cb929cc8ce2db8d565bce6b80ff6cb93fcea6,92.733658
0x011caed210c8cc9603dc43f94b864f2b49a377ce,10508.75171
0x0120d5d85b62e997da04277f65a440857080b9fc,300.215869
0x01342d72f44e3148ab81f0172150f75341247fad,0.041429
0x014c2d27ebdc45a7011324274d9d61ef0e6f719b,5013.59236
0x0157f4b4b9ede3fb0cac9cc703e4420fc46a7326,50158.78204
0x016aec5934aeb79e0a56f4f5e9ebfe40ba8f5962,211576.2484
0x01712b15a96cb888e42128b36453717f0a493835,15394.52108
0x017b3763b8a034f8655d46345e3eb42555e39064,106233.5407
0x0181a654e4b48bf9b44a37e377b7477d7586d9b2,9.70E-05
0x01848a8f082d4a1be95d63d6bea01545fefac25a,157072.0683
0x019bbbf96b44a6685a0fc97ee568d157c16081a8,100351.6814
0x01a0f8f364c2fec07cfcdebd2980da3f950d0410,0.736142
0x01a19993a54a2b0e85b08f328eddeca323493889,4547.832198
0x01a506bb5a21dbbeb7a32de48bcebab033d48e07,0.005969
0x01b50d9051cfcefe2fe10055daad7fe68eb245aa,15020.53688
0x01c7b0e79e7599184c2adbf4666e122e88382d2f,0.024801
0x01c9ea664b6d06bc4609cec8e75dd600221e1c36,83.630513
0x01df809ac75cd3e5c46cf5fd8a05f21c27aaa317,1347.88
0x01ec5e7e03e2835bb2d1ae8d2edded298780129c,3500000
0x02179a7ea432796609e7cdd021d3a5eb057d4902,13730.69059
0x02206509a713e003bd099fd12a2edfef9af84665,10041.43343
0x022152a80b28d7345f3e6a4ab1c575e865456e8d,47.9476
0x023203ca4724f2910379797f6f9faf606b079f3a,25638.54208
0x0258da40e011acb8e0f6308d6dda4de363c9b604,4.90E-05
0x0276ff375a36319e332ebb414e224ece4ad487b8,1.000272
0x027bbc88d8f477c55a0a3d01dc63dadeca770ede,204908.6704
0x027c7497b4e9f0612ab806f4c3813b7f8e07edf9,324090.009
0x028c02bb98b821b443f0421e70d1c0b3896ba5af,128856.3278
0x028ccbca42a1a34515703e61c70c42b7aa4eab6c,5054.621245
0x029499775a64bcbd938209f779eb5197bc70593c,0.024725
0x029c10ad53a664831c7de471dd45bc3997e23c2c,17073.71312
0x02b4f856cc5221f2855ecdd83511458f3e720b98,14063.6855
0x02b9dee806bc6e1093e348336d35b0866908712b,80744.11898
0x02beba6d4b70836ccf2a7b34ca76261a04f999db,100151.6772
0x02c9ce7204250085bc0e5416c7dbcbc1b255cf59,0.002197
0x02d976f43655fbe8c37baeb8b13588f6481d96ee,3000.225817
0x02dc5bc72d2c1e9053b7a8ae9d0332ada10e83a3,500036.1828
0x02dcbf911bc71c81175ff062ace29a970961d131,62552.25539
0x02fff939d7e87f39dfd7ce107e2437247475e086,10405.00004
0x030593db8c7db00480747ae503c63df456a29281,128977.9248
0x0317d91c89396c65de570c6a1a5ff8d5485c58dc,5
0x032870f72a66055c757c45b8905c148108866469,499.99
0x032b5e85a21815671d6be07b427e595de8e6c28f,5.069631
0x03356060622b057978f616a26ebb2967a73625ec,41366.73445
0x03438646f8af7df029a39d5792393960e213fbca,0.000307
0x035581f829cbc64ca734aec08190521ad6d5dc42,6601.344588
0x035fc3b0ec2487c1c9def561f578ec77a06b1b12,40750.08889
0x0364c42a15c2cc3073eba1e11ee5ab0c6a1b5b40,1177.636843
0x0367e3132549bc7f60ce2c63a8577f7a4b1af08b,116420.7349
0x03894d4ac41dd6c4c2f524ed4417c90fa46972c6,10
0x038db6c62d0f072616e2b8db7d3d7cfc829f7f65,33036.98577
0x03a431b3ae25bcda482323cc14e855c28ab327ad,168008.6412
0x03a71174380cd25fa75cbfabfdf87b08bcaa62e7,500.000001
0x03a76f1dd992dd58314c399e33065fd5434b71d7,5024.652187
0x03a8be734a18c1720b8959eabc4470336f56b1ed,100.000004
0x03c2bfd2509de9b13d0124015077e100a292336d,179.036843
0x03c8060e6e38097ea6abb22242f7e2280485c438,29.185679
0x03ef71588672796c9025411465d43b5e8837cd2e,4994.980242
0x03fe6b597fc954a81a88cfea3d448de8a0c03dc2,92400.00108
0x03ff357118d994bcab57f8b52d75c92d88a3a7b6,5
0x040e19097ce6df94eeb891b999de7db2cf3c51eb,11421.32775
