Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method
0x6e838cf225687c1a79fb8b4ec7cea11933182cba52fe87f4af3f31fcf6b0436b,12538807,1622419418,31/5/2021 0:03,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,67.940197,Borrow
0xe2d8c6fc177aa4a7f1ef3dace26237d6e257e933bfccf1511e470a70f66b032c,12538813,1622419494,31/5/2021 0:04,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,22.649213,Execute
0xe0100ea85fc673a2eb35bb7c124c7163b425e83a2619c9207e65543e7db40b85,12538822,1622419563,31/5/2021 0:06,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,20.564426,Buy Tokens
0xe0100ea85fc673a2eb35bb7c124c7163b425e83a2619c9207e65543e7db40b85,12538822,1622419563,31/5/2021 0:06,0x0000000000000000000000000000000000000000,0x99230f93135f3650ab5706b7b6d4b30b4ee961c9,"31,913.35",Buy Tokens
0xe9d4609543c2ef08d58856aeea314c220b19ccf10ff1d603da4ec309db93cfb0,12538823,1622419595,31/5/2021 0:06,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,9.537059,Repay
0x8b825b12fddfc215b368a29bf459ac92aee3a27dad880589010007f83b7cd872,12538824,1622419603,31/5/2021 0:06,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,2.383805,Deposit
0x8b825b12fddfc215b368a29bf459ac92aee3a27dad880589010007f83b7cd872,12538824,1622419603,31/5/2021 0:06,0x0000000000000000000000000000000000000000,0x4af9b37ebfc8db22642d98caa52fb68c8a4503c3,98,Deposit
0xe4b0b7f3be792dfc19e9bc82ad4a22cb56e91c550052806aad7922ed3291e79c,12538827,1622419633,31/5/2021 0:07,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,8.939269,Borrow
0x5b28fd973726fc154f730332bb45d1ab7775121a928a9a81814d0df69e2b38ab,12538831,1622419746,31/5/2021 0:09,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,33.671314,Execute
0xf0ae2e0424beece21313a7e81a06fe346591cd7003bedf83d476ca079ef5e59d,12538837,1622419841,31/5/2021 0:10,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,28.316302,Execute
0xf0ae2e0424beece21313a7e81a06fe346591cd7003bedf83d476ca079ef5e59d,12538837,1622419841,31/5/2021 0:10,0xe5e2b656dd24c293b9eb4d6973948bf696227fe6,0x0000000000000000000000000000000000000000,"40,000",Execute
0x7eae3e451564eee0f03c9d2cc7a659b074abd5ce96f61ea8fc19ab49c7456b44,12538856,1622420040,31/5/2021 0:14,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,59.315731,Repay
0x90410c1b1bc499cd30bb9dd50eae0bee2323eb573868e8c655f767a6dfd59526,12538866,1622420110,31/5/2021 0:15,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,20.864673,Buy Tokens
0x90410c1b1bc499cd30bb9dd50eae0bee2323eb573868e8c655f767a6dfd59526,12538866,1622420110,31/5/2021 0:15,0x0000000000000000000000000000000000000000,0x99230f93135f3650ab5706b7b6d4b30b4ee961c9,"53,125.53",Buy Tokens
