Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method
0x4ac147d4b2bb92fd5acb46f9ab38234241e205c1ced3b02fdd98815a560cd1c0,12448644,1621210145,17/5/2021 0:09,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,410.510184,Borrow
0x12f8254bafa6385b1a8658fa3341b8bc145116b5431728e7bb33191a4f4cdd32,12448668,1621210505,17/5/2021 0:15,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,220.388686,0xd51c9ed7
0x12f8254bafa6385b1a8658fa3341b8bc145116b5431728e7bb33191a4f4cdd32,12448668,1621210505,17/5/2021 0:15,0x0000000000000000000000000000000000000000,0x9af8effe46c8115fb5b45775b7edc53486dcff67,"123,729.54",0xd51c9ed7
0x02a12390770943ec5b24d89138061992b702b96b6eb0e2939e803aa24262b9f6,12448673,1621210558,17/5/2021 0:15,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,32.349682,Repay
0xd74abf93c78f4c4cdba1d0e1b9ca44b8ea59722586cd159a4ec6baf19234a485,12448674,1621210566,17/5/2021 0:16,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,4.882972,Withdraw
0xd74abf93c78f4c4cdba1d0e1b9ca44b8ea59722586cd159a4ec6baf19234a485,12448674,1621210566,17/5/2021 0:16,0xa864baf44e9b6cfb2c3211cf39ff924cc32b6981,0x0000000000000000000000000000000000000000,350.774375,Withdraw
0x78d27e528591a07dfb20fa54bcff9af097424c36f053f6929d446ad6295d04dd,12448682,1621210635,17/5/2021 0:17,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,42.115995,Borrow
0x871bdb16f9ca22b43e70fda81362aacaa7a2f0936567054c352fee760248b9f6,12448697,1621210791,17/5/2021 0:19,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,95.34762,Borrow
0x48325cdba7e7fd37a0bea2f8ca2ce8a483b9540d33db3a7138df9a8def734bd5,12448699,1621210806,17/5/2021 0:20,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,9.168568,Deposit
0x48325cdba7e7fd37a0bea2f8ca2ce8a483b9540d33db3a7138df9a8def734bd5,12448699,1621210806,17/5/2021 0:20,0x0000000000000000000000000000000000000000,0x37425896902aacd7217248ab7d63c259933c409f,"2,187.23",Deposit
0xdde2a087d2fa24512879ceff71d3889ef85cc3f5b397625afad329f8f7d588fa,12448711,1621210924,17/5/2021 0:22,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,72.122295,Repay
0xdfef4a01bea4dcf37ca3254ae8c61b7993b6b8fc6ee500c385cfd57b518d68fb,12448732,1621211324,17/5/2021 0:28,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,244.356558,Execute
0xfdb6f73aba4711ba9f679983783c2c9f6595cd76c9f2df4c21d790b757d22945,12448734,1621211336,17/5/2021 0:28,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,7.328785,Cast
0xb1cc61f0c7f46b314029531d95f29d8ea2574b1b6691a1444dbb1b5e5e38283d,12448742,1621211518,17/5/2021 0:31,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,112.655343,Cast
