Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method
0xc29f4a7bfc4304666a4acef31f91cee20d3d66fd60e137f188192cda639e55f0,11857959,1613347372,15/2/2021 0:02,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,8.77422,Borrow
0x529a6d38837e6666c6df217cf9248c804c211bf93e0e6864c7667c1f5a33f0a8,11857972,1613347531,15/2/2021 0:05,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,6.200503,Borrow
0x153dd4b128bace3e2808c63b5ff9c23bb96118b51d9dfa04c1a0c8b494b28c5e,11857974,1613347546,15/2/2021 0:05,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,0.585007,Borrow
0x9762e6da485eebfd8dbff876031bd1d4cc0695e0224b5fc3e07d0b54a34adb7f,11857975,1613347556,15/2/2021 0:05,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,0.390113,Borrow
0xcad05ab6a656236043aeed21e016118c4ce2358287fd97574ae962c101e3e3ef,11857980,1613347613,15/2/2021 0:06,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,2.223738,Borrow
0x238b2c1653197e5753956f5c36dc86066127bc5356d5c84977d5db628b88b0ad,11857983,1613347649,15/2/2021 0:07,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,1.404483,Borrow
0x04bc06bec2fc868a3ccc2706046bf4c3094b443a293eef17a8447bf6215d9d36,11857996,1613347834,15/2/2021 0:10,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,7.219361,Swap Borrow Rate Mode
0xb8555235ab8717d9441358488f05042e1d47097813d40e56c5ae56df861594e8,11858004,1613347880,15/2/2021 0:11,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,1.795525,Repay
0xb7caaba47128a35a79d7e5700a061bb99dfc6edc1cbbda085031370de012ca04,11858017,1613348125,15/2/2021 0:15,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,9.561811,Borrow
0x62b1077f5f0fc9d961426c9ef89b2ab693b938a2b9daf10934c8da23b074bcdf,11858018,1613348139,15/2/2021 0:15,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,0.546413,Borrow
0xb373be6977aecbbc77bf962bf908c50e25e3596e37b19b697381050f73f835d8,11858030,1613348344,15/2/2021 0:19,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,8.001602,Deposit
0xb373be6977aecbbc77bf962bf908c50e25e3596e37b19b697381050f73f835d8,11858030,1613348344,15/2/2021 0:19,0x0000000000000000000000000000000000000000,0x424be8df5db7b04b1063bd4ee0f99db445c59624,"83,309.57",Deposit
0x22627ba03e09743b6cac6640e75a78e7e15967b3190225ba1d5cdb4aff0862b2,11858032,1613348374,15/2/2021 0:19,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,1.170847,Borrow
0xb1bffda159c21a1d868a91e1268c9884eb6b20eeef91222cd1e619aa776a190c,11858047,1613348555,15/2/2021 0:22,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,7.567042,0x90411a32
0xb1bffda159c21a1d868a91e1268c9884eb6b20eeef91222cd1e619aa776a190c,11858047,1613348555,15/2/2021 0:22,0x0000000000000000000000000000000000000000,0xdebf20617708857ebe4f679508e7b7863a8a8eee,"36,000",0x90411a32
0x3241626f7e8fb9dbb4bd27e5314f62885c4646e5c03d37f57c354260e515a34b,11858047,1613348555,15/2/2021 0:22,0x0000000000000000000000000000000000000000,0xdebf20617708857ebe4f679508e7b7863a8a8eee,"16,811.24",0x90411a32
0xd2dae295db9458e0c67912f0d3ff17a92d5491312bc987c498438b30c5304fdb,11858049,1613348578,15/2/2021 0:22,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,0.97102,0x90411a32
0xd2dae295db9458e0c67912f0d3ff17a92d5491312bc987c498438b30c5304fdb,11858049,1613348578,15/2/2021 0:22,0x0000000000000000000000000000000000000000,0xdebf20617708857ebe4f679508e7b7863a8a8eee,"32,800",0x90411a32
0x984a3adc2d104cfc91523d97030134742d472eb9a74cba734cd3f41f3a8a6ac6,11858050,1613348594,15/2/2021 0:23,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,0.671971,Borrow
0xaff791f20473903722c61375d37bea1447e651c1597aa0493f35fe5632e72924,11858067,1613348877,15/2/2021 0:27,0xecddf2f18f9a5ef4dec9113777aaa7ab2c40be7d,0x6423e5300ee460b96415e08789cfc0d70f9e2687,"5,500",Transfer
0xbb5c4b07e4ff88fd08e9c015535d4293173eca09655f3f2d7081abad77a94e77,11858072,1613348941,15/2/2021 0:29,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,14.64135,Borrow
0x4fa86e86fd1256241b0bda376adb4906bb6177be7e57d6e911a5fd7b7a9731bd,11858074,1613348991,15/2/2021 0:29,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,2.167931,0xd51c9ed7
0x4fa86e86fd1256241b0bda376adb4906bb6177be7e57d6e911a5fd7b7a9731bd,11858074,1613348991,15/2/2021 0:29,0x0000000000000000000000000000000000000000,0xf6a2ec545cca45346cec078b63524b29e8139946,"71,941.70",0xd51c9ed7
0x071833ac4cbd0740953aab4814f72a7bf1dc6e2279301551ef83d96459eb88a9,11858087,1613349157,15/2/2021 0:32,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,7.117367,Repay
0x5dad854dcaa04f1d63f0f50376ee6d6a696da0f9118aac8039e31eaa89d07545,11858095,1613349218,15/2/2021 0:33,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,2.606145,Borrow
0x0c11fc374382bfe9c728eae8a851fb2db48f5f58b0919d1454a23747d323c8de,11858096,1613349233,15/2/2021 0:33,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,0.640972,Borrow
0x4dfc710fbfb6a5054068eba590ec276f57daa3d1533a45660bfaf0877799e1c4,11858107,1613349426,15/2/2021 0:37,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,8.256619,Borrow
0x6fbebbf6f1928b1cb4ab11b8df28b937fa24f41def41d82a7586adb6a309c559,11858111,1613349491,15/2/2021 0:38,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,2.78528,Repay
0xe04fbc29d461895292b8fa9df10ea10603666c606cefb011a429a7592b19c2b0,11858114,1613349511,15/2/2021 0:38,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,0.856028,Borrow
0xe3ee81fd6b2cb81bc55fdbf2d1fc7ea79b17388146f0b766dbaa64b487a3f3c0,11858131,1613349785,15/2/2021 0:43,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,11.770146,Borrow
0x8e1799e04882af84f4dc57e9a6beb4906cf9022a565ff9d99aded5c4c8226753,11858132,1613349787,15/2/2021 0:43,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,0.086846,Borrow
0x7d35c9be20557912c6956c31b049b7532b66c023d02f3013337c5dc37a0e566c,11858140,1613349888,15/2/2021 0:44,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,4.388324,Flash Loan
0x50fbb90282ade228f4ff5b2625b8dba245a4c2270aed0a80393b82b9ef176a3b,11858158,1613350166,15/2/2021 0:49,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,13.341669,Repay
0xc63ccdd30cfb6ac48bb00fb3327b711d4c04c5d7a14abe7b6fd6429f05eedced,11858184,1613350442,15/2/2021 0:54,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,13.156999,0xe6813563
0x510fa2858f2413a445eab9aeb9b34147383989e0f09666cebf61bf93c737f069,11858187,1613350470,15/2/2021 0:54,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,1.33265,Borrow
0x9cf56748700815cdfff43d4757502bf44024b2602e69e2977781cb1bfc9b8811,11858201,1613350613,15/2/2021 0:56,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,6.842526,Cast
0x6d5f2e556084f9aba1360709df5f38b3a96a1a3e0ca15c15d58ce2809815aaf4,11858209,1613350738,15/2/2021 0:58,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,5.985105,Swap Borrow Rate Mode
