Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method
0xe12cabb1651863d20bdb5263943f87e60c0bc95bfc5dd7324ea2fa9cb9da52bf,12732056,1625011228,30/6/2021 0:00,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,136.890375,Flash Loan
0x92c099a85ac36d8b86d8648b42c8f6601deeb5f1cd5a80175bcf4d7826033b6f,12732057,1625011240,30/6/2021 0:00,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,3.44378,Borrow
0x4d72b94b5ce40078935b868379e63238ba04b0ba07063883a8a3937a295683f1,12732081,1625011594,30/6/2021 0:06,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,101.601804,Borrow
0xa699d37965fd3165a86763444e43b88f938a84ed069f0473038df5d86e5eef35,12732084,1625011681,30/6/2021 0:08,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,24.971796,Withdraw
0xa699d37965fd3165a86763444e43b88f938a84ed069f0473038df5d86e5eef35,12732084,1625011681,30/6/2021 0:08,0xf5bbee183ef6edcce995a400c234623119909468,0x0000000000000000000000000000000000000000,"506,808.79",Withdraw
0xe2032bc9a2663ea7a3fb92eb0526497f1d0c06ca8be4043a8bc4bdbab9cd3bf5,12732094,1625011838,30/6/2021 0:10,0x603e7655b7bd063e9a413fcdfe2c5bbcd18606a3,0x135896de8421be2ec868e0b811006171d9df802a,"22,019.80",Flash Loan
0xe2032bc9a2663ea7a3fb92eb0526497f1d0c06ca8be4043a8bc4bdbab9cd3bf5,12732094,1625011838,30/6/2021 0:10,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,45.069345,Flash Loan
0xe2032bc9a2663ea7a3fb92eb0526497f1d0c06ca8be4043a8bc4bdbab9cd3bf5,12732094,1625011838,30/6/2021 0:10,0x135896de8421be2ec868e0b811006171d9df802a,0x0000000000000000000000000000000000000000,"22,019.80",Flash Loan
0x94c4ec011bacf3a83086ad09d1e3985142b834506069dbc3db9d169bd69906fc,12732095,1625011850,30/6/2021 0:10,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,3.444809,Deposit
0x94c4ec011bacf3a83086ad09d1e3985142b834506069dbc3db9d169bd69906fc,12732095,1625011850,30/6/2021 0:10,0x0000000000000000000000000000000000000000,0xb5a9621b0397bfc5b45896cae5998b6111bcdce6,"600,000",Deposit
0x4b793ee053358c4d6d5f8106eb6bd10997b4cce881b2d1411660567a4ca41323,12732144,1625012459,30/6/2021 0:20,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,174.799801,Deposit
0x4b793ee053358c4d6d5f8106eb6bd10997b4cce881b2d1411660567a4ca41323,12732144,1625012459,30/6/2021 0:20,0x0000000000000000000000000000000000000000,0xb5a9621b0397bfc5b45896cae5998b6111bcdce6,"347,946.33",Deposit
0xbaa36cee3320bd5f805efab6a924a0e39aa1ef44f4fbf843ba0460b97b478b48,12732146,1625012477,30/6/2021 0:21,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,5.166083,Execute
0xbaa36cee3320bd5f805efab6a924a0e39aa1ef44f4fbf843ba0460b97b478b48,12732146,1625012477,30/6/2021 0:21,0x0000000000000000000000000000000000000000,0x96d77e61b1302f1d138acb297051f2fb1014c7ff,"2,004,653.31",Execute
0x3729adfa64669421d4f85cc71e611f4f1818393a59446ca8b02915a5a8b11dfa,12732147,1625012478,30/6/2021 0:21,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,0.286871,Cast
0x4f83685e39106f51c45fc54cb20ab15396bfd8a87fab63f3ce058c2d5f54933b,12732157,1625012641,30/6/2021 0:24,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,46.760041,Repay
0x9304374a7ea53712ef43ef6371e15ddddc146736de76ee7d25c597c4d57d44af,12732163,1625012675,30/6/2021 0:24,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,9.75361,Deposit
0x9304374a7ea53712ef43ef6371e15ddddc146736de76ee7d25c597c4d57d44af,12732163,1625012675,30/6/2021 0:24,0x0000000000000000000000000000000000000000,0x4bf0e392065eeb8f092d25879cbc52713a176f15,"35,891.09",Deposit
0xb4e62372a0417494c52c3595c7f2a42b1b8b49ef8410fee1cdaffcc63087bc0c,12732167,1625012780,30/6/2021 0:26,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,30.121195,Withdraw
0xb4e62372a0417494c52c3595c7f2a42b1b8b49ef8410fee1cdaffcc63087bc0c,12732167,1625012780,30/6/2021 0:26,0x94bac1a34481bcdb141579de72d24107e9e0cb20,0x0000000000000000000000000000000000000000,"5,031.69",Withdraw
0xfa33f3858e779a4fd06bb499f79a0b8eeae711a880580b911bec6d8f96d2b961,12732185,1625012991,30/6/2021 0:29,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,60.52934,Repay
0xd41845cd0d0b0cb963ff7e01e615551236c008069d0fc1c7f967335b21912097,12732196,1625013068,30/6/2021 0:31,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,22.086898,Deposit
0xd41845cd0d0b0cb963ff7e01e615551236c008069d0fc1c7f967335b21912097,12732196,1625013068,30/6/2021 0:31,0x0000000000000000000000000000000000000000,0x4bf0e392065eeb8f092d25879cbc52713a176f15,"32,921.04",Deposit
0xeb87e148945413cd95cac51fbac9cd3aa3c524c210773f0da833f7f7ca91352e,12732204,1625013263,30/6/2021 0:34,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,55.929041,Borrow
0xcbe8a741ecbecf76c206ecfda078cdd86bc9ad2c9d236543ecff1bcd03f3b3b5,12732209,1625013277,30/6/2021 0:34,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,4.015433,Borrow
0xba30479ea8a752ff7be74b398298c3b062489ea3d343e3cf72a04f8f6ad9bacd,12732212,1625013339,30/6/2021 0:35,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,17.78395,Deposit
0xba30479ea8a752ff7be74b398298c3b062489ea3d343e3cf72a04f8f6ad9bacd,12732212,1625013339,30/6/2021 0:35,0x0000000000000000000000000000000000000000,0xc19e5fefd632c66e12decb16827669d53082aed6,"5,000",Deposit
0x1816838558d2db2ba0fafa1ff300e8a3112d8a66ade133b9b63ffc105be81ec3,12732215,1625013363,30/6/2021 0:36,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,6.884102,Deposit
0x1816838558d2db2ba0fafa1ff300e8a3112d8a66ade133b9b63ffc105be81ec3,12732215,1625013363,30/6/2021 0:36,0x0000000000000000000000000000000000000000,0x4bf0e392065eeb8f092d25879cbc52713a176f15,"25,739.94",Deposit
0x27042d33072287049e9075936f7a5b01619a20cf5b99f81060e8d76dccb66891,12732217,1625013409,30/6/2021 0:36,0xc19e5fefd632c66e12decb16827669d53082aed6,0x135896de8421be2ec868e0b811006171d9df802a,"5,000.00",0xd3454a35
0x27042d33072287049e9075936f7a5b01619a20cf5b99f81060e8d76dccb66891,12732217,1625013409,30/6/2021 0:36,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,13.194451,0xd3454a35
0x27042d33072287049e9075936f7a5b01619a20cf5b99f81060e8d76dccb66891,12732217,1625013409,30/6/2021 0:36,0x135896de8421be2ec868e0b811006171d9df802a,0x0000000000000000000000000000000000000000,"5,000.00",0xd3454a35
0x901e022ddaf5e696b67219750cbb172ccd037fc5288df63e52337597e25fa74d,12732253,1625014048,30/6/2021 0:47,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,183.28842,Borrow
0x4df5216389d1675858916da304cd801ef83483a5320ca728157c6d0c45d1a15d,12732260,1625014141,30/6/2021 0:49,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,26.675868,Deposit
0x4df5216389d1675858916da304cd801ef83483a5320ca728157c6d0c45d1a15d,12732260,1625014141,30/6/2021 0:49,0x0000000000000000000000000000000000000000,0xc19e5fefd632c66e12decb16827669d53082aed6,"4,040.01",Deposit
0xb0257b6b56952520479954a36abe9a73f5dc83067caeca3aff1253b1174a64cc,12732266,1625014283,30/6/2021 0:51,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,40.730863,Borrow
0x8a5d31ee0e698c33085b7d9bcd5924b478b6edb745e7cf99c33269fe19115c0f,12732266,1625014283,30/6/2021 0:51,0x0978e86b4b0173e2c46777fe31719d6f709059b0,0x0000000000000000000000000000000000000000,"500,000",Withdraw
0xeb501d94c6a095ead1f667031a4af8f23c97986446ae4b656b2c6b034100b939,12732279,1625014502,30/6/2021 0:55,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,62.824685,Flash Loan
0xc82e0d79dca7fdee3d654c97aa5a3e5b8eb6ca486f4959e28c0c602840c419c4,12732295,1625014785,30/6/2021 0:59,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,81.184339,Repay
0x6b252b64d64bc35ca1bf5b3a8a78a259d81942e59fd58fea99826de25ed1993f,12732296,1625014797,30/6/2021 0:59,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,3.442444,Repay
0x77153f383f7c0a9fa844204cc59b3a4a5fc54862e9331758ad7ecd7ef1ea5bd3,12732298,1625014832,30/6/2021 1:00,0xc19e5fefd632c66e12decb16827669d53082aed6,0x135896de8421be2ec868e0b811006171d9df802a,"4,040.01",0xd3454a35
0x77153f383f7c0a9fa844204cc59b3a4a5fc54862e9331758ad7ecd7ef1ea5bd3,12732298,1625014832,30/6/2021 1:00,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,10.040336,0xd3454a35
0x77153f383f7c0a9fa844204cc59b3a4a5fc54862e9331758ad7ecd7ef1ea5bd3,12732298,1625014832,30/6/2021 1:00,0x135896de8421be2ec868e0b811006171d9df802a,0x0000000000000000000000000000000000000000,"4,040.01",0xd3454a35
0xa7657192cfbce6c854a8a307032799a404ee9fc6c8670157c53c5bee0899fcdc,12732305,1625014912,30/6/2021 1:01,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,22.949363,Flash Loan
0x7a1e825393155269fb38224c24188959ed4b43f32efec5137316987eca6fafee,12732310,1625014964,30/6/2021 1:02,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,14.916332,Flash Loan
0xc33ad06d6c27fe14081060b1b99448013aedc68336af2879f64bf36928039ad8,12732316,1625015034,30/6/2021 1:03,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,20.078663,Borrow
0x555ab54f20304e3c0978b4847c42d422f12b594540998f8d82e3459208a053fa,12732323,1625015185,30/6/2021 1:06,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,43.312617,Borrow
0x76407a4f4885749d58dc94396eadd781de1dbd35ede8f4c3a1f9f79a3929ec68,12732336,1625015400,30/6/2021 1:10,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,61.670859,Execute
0x76407a4f4885749d58dc94396eadd781de1dbd35ede8f4c3a1f9f79a3929ec68,12732336,1625015400,30/6/2021 1:10,0x0000000000000000000000000000000000000000,0x57458b1f2f37abd254d50ff4255277cc07d82858,"10,000",Execute
0x76407a4f4885749d58dc94396eadd781de1dbd35ede8f4c3a1f9f79a3929ec68,12732336,1625015400,30/6/2021 1:10,0x0000000000000000000000000000000000000000,0x57458b1f2f37abd254d50ff4255277cc07d82858,"38,090",Execute
0x3f5f3819431f1a553a41c11465f8b3de82c14bf56b3d98b76dfaf71fc773ab54,12732341,1625015449,30/6/2021 1:10,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,14.055427,Borrow
0x04bb76ee57b619678293b3be0b66e8d2f07b4d4a31405d60472555b674f3755c,12732348,1625015565,30/6/2021 1:12,0x0000000000000000000000000000000000000000,0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,33.274635,Deposit
0x04bb76ee57b619678293b3be0b66e8d2f07b4d4a31405d60472555b674f3755c,12732348,1625015565,30/6/2021 1:12,0x0000000000000000000000000000000000000000,0xb54a80115e906240da0857aacee9d5ea8291a638,"72,679.75",Deposit
