HolderAddress,Balance
0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0.485005092
0xab9f3fa2c88f6afb6b837e705c31044f271ccc50,613.0793385
0x6a96b17601c59d867123c5f45c0867fc735ed15a,31.29806444
0x46426750dc069953b3d78979fd5743c28d8f7596,103.913511
0x0a82e6ef40cfcca9d5f651292194aa1c7fb2f9f4,7.747404341
0x354c3c410cc7d05a3ff0422d15a5ea62ded99ba2,137.5799138
0xf191e64bd21c20d9144106ac0480f1c9ddb17914,49.59877956
0x7d02ae2e1209e0261c7ca01055b43f46da047288,21.509054
0x8036c45ffac7980483862d8a8ce07635107e8c7c,171.4918802
0xed9ca75f828747fe3da57f05b89665df6b1b54fe,127.1674201
0x3c315dad747c210a522f118788e8d7c800116680,160.7118778
0x8fb7de9825bdebf9d66461da21f20d60a19c3970,53.50937484
0x74231a88ce98b0e75a6a1e9f40eb0f8384fdb1df,0.006704
0xe7a7ca43db32338fd5fca3166cd907edd78e9cd3,6.6350705
0x9dbd600f88bc2b97632dfc60b7568a226d398a90,10.95747
0x75750d0bba74ecb961fa588873a0ef69c54361c1,56.49761881
0x7ee567d2ac5dca4c422281deb1e2334a805ba6c1,2
0x66189384ffa71f40f2ab11388ee125ee6d4ec6d7,15.0412552
0x0565547f1f76a5453ff27730f390689479637cb8,23.04168
0xef7aff8189d2a8b03adf7faeba6b7794f8e6c004,2.174831992
0xb0151d256ee16d847f080691c3529f316b2d54b3,17.18300532
0x3d0268a380e5c030fde942a2de3bbe4647f3a862,5.779
0x4f8bb28187cc89ddad0f35aa76a4693a54595c24,1.9385
0xf3d9281fa183b74f32b96e1c5244596045f4ede8,30.17
0x93f050b026bf66127db335b129afefb6fadddd01,1
0x0f7c548c3c100e1ad6a1f092d95884cc4dcef4bb,30
0x05cbded6c72fd18b5682bd74f07f5a89dd8f360d,46.29928466
0xf57218ce904e4b7aab0b31c53a1010573c8f7183,33346.01392
0xced2f0dcb70757339f7072a3ffa08a4a73497435,3.5
0x55a5f913ae82c43f1d63f338a304a0d1af0f3ac0,329.2290726
0x671a6296911a18bdf87a5a0674240b0d09a493c0,200.0003353
0x82a4697a45037c4ae1babd7af6c6d04254e4085a,98.06422731
0x4f7b52f697290b2b73fe15bd7f10e24001e7446e,10.00000001
0x3a2da971984d61759a8a8518e85b9f7feb5d013b,2.019399906
0xd3718c99386a6f4f1456367647e4653828ff27ae,28.18266069
0x65a1ea5e92cd95a81cce4b3341c5c823f4de6bf7,17.3323
0x7420fa58ba44e1141d5e9adb6903be549f7ce0b5,427.457482
0x7f2c53a8d82e97cc457e0f358e303dee7617ac85,20.66222462
0x1370f1e8e79277e02530118253f29d7c326ce7df,10.17265181
0x6d96d7c5083b7e62274af095df87cc29115a4249,101.5699169
0xf8b234d307cb45b35f8c75b11aab59d93fdff26b,206.9448516
0xbcb046ed6ff5f4ca01f2e03329399e10bfc8c58f,23.31084758
0xdcd050fad8eaef5dc11bd25e92014d21dcada74d,2.4390048
0x441fa107a40ce86a22f3f30782b826243eb197f1,20.14970048
0x36cf80d36fda4530777aed39ae7f398e38fbb25f,2005.470452
0xc584eb5136c38bdee0b3a602e392dfac787c7a04,52.37534297
0x27adfbdb9a913ffdf886b4f76eca80ab8f189bef,6.316719189
0xc60c9f6fb9d1ac0af57328db235c48f66f99ebce,12.30473968
0x9fd87d9370a6052f35de0b9079eb306ab27c3ef7,1.795054884
0x8cbcda0cd7df045cf7fbf4b477dcbdea3d88746f,167.467656
