Txhash,UnixTimestamp,DateTime,From,To,Value,ContractAddress,TokenName,TokenSymbol
0x02d42738cb00c4097c54ae44dd78164b6c9f08aacc3350dd21122ba60112cb62,1619456058,26/4/2021 16:54,0x25f2226b597e8f9514b3f68f00f494cf4f286491,0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,198000.00000000,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave Token,AAVE
0x07a84987996f354664b5223ed691e28a7ac2943c8f49e236cd1180c7131cdffe,1619459833,26/4/2021 17:57,0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,1.52369661,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave Token,AAVE
0xeaa65c0264d2d6e162b2ed1d6479a65865c74bf91add4d3477ed549d71741d97,1619460495,26/4/2021 18:08,0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0.67395251,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave Token,AAVE
0xe16d2137e37e43d035b5e1b6c9cf76a63a03888fb099d21251cccc3d4d6ab274,1619460694,26/4/2021 18:11,0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0.00000000,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave Token,AAVE
0x425984545adf41841fc08fd03dc25bef1541aef77ba16ccbc6a0332eb3447fca,1619461219,26/4/2021 18:20,0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,1.13067792,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave Token,AAVE
0x1c99008ee7f4b42d61b98a6a703788280f6b3829e3a9305f77e61c34e0e17356,1619469242,26/4/2021 20:34,0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0.39121086,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave Token,AAVE
0x703c6116a41d5bed45a2507cf0ec7f6ea859505e7b822b5df6147c13ecf7a9f1,1619471541,26/4/2021 21:12,0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2.25941804,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave Token,AAVE
0x4268c0f580536a72f49e465324cdb2d735ecb0143befb2b7574c9188eac06ff1,1619488315,27/4/2021 1:51,0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0.15219107,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave Token,AAVE
0xb72d867483ea9b494b840e51e375f6cad7803075d0b221b1e3d02f0a70fe9248,1619488948,27/4/2021 2:02,0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0.03074009,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave Token,AAVE
0x39dc3039c85e4b50b7d5e270f308a70aa48e82526032b2ce52891513ac9e4737,1619491490,27/4/2021 2:44,0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0.00190784,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave Token,AAVE
0xf9855c35580508cda6bb1e52b8b549b17addfb2c2b9baa2ba3b18844772f4a4c,1619492069,27/4/2021 2:54,0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0.19827936,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Aave Token,AAVE
