,num_USDC_deposits,num_USDC_withdrawals,aUSDC_balance,30_day_log10_aUSDC_num_transactions,90_day_log10_aUSDC_num_transactions,180_day_log10_aUSDC_num_transactions,log10_aUSDC_avg_size,num_USDC_borrows,num_USDC_repayments,variableDebtUSDC_balance,30_day_log10_variableDebtUSDC_num_transactions,90_day_log10_variableDebtUSDC_num_transactions,180_day_log10_variableDebtUSDC_num_transactions,log10_variableDebtUSDC_avg_size,flash_loan,stkAAVE_balance,stkAAVE,xSUSHI_balance,xSUSHI,num_aave_gov_votes,aave_voter,total_aave_rewards,total_claim_actions
0x7dadcccef28d71f0dfce6699509f2791dd0c10e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.6232492903979006,4.6723765362129255,True,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7daeb3ce3e7cb986ca507477a749f44b9a8aa220,1.0,1.0,1.0,0.0,0.0,0.0,1.6126779183165019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7db0db8ae944833f71d0b61d53b30bfe445237a2,1.0,1.0,0.0,0.0,0.0,0.3010299956639812,4.1382846363202015,1.0,1.0,0.0,0.0,0.0,0.6020599913279624,3.888239381905467,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7db3ca5ad4c8f648d21fa7d682d3c6ca9d4f5dd7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3010299956639812,5.60433999440967,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7db5ccfa31512440c6ccfb9fe870273ab8dd82d2,1.0,1.0,3.0,0.3010299956639812,0.47712125471966244,0.47712125471966244,4.0358508862916045,1.0,1.0,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,3.602077781999876,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7db7f636eb50ab2734b587a4eb0ee3e8e75d5254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,3.3012356412120503,False,1.0,True,0.0,False,0.0,False,0.0,0.0
0x7dc37f02c9d585f7575d708a578ede9f10e070a8,1.0,1.0,2.0,0.0,0.0,0.0,3.698968267154617,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7dd0cb21e7c74776bd57f939c4f608246d32f6c4,1.0,1.0,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,4.264499184188252,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,1.0,True,0.0,False,0.0,0.0
0x7dd4e47391bf2961ac13a0ea06c51bd7a5e860f7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.3010299956639812,1.0413926851582251,1.0413926851582251,3.392239239094257,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7dd7b6436e577b6c827cb84c8f447d102dd00ad6,1.0,1.0,2.0,0.0,0.0,0.0,2.7002536171912506,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7dd94d9198b367bb6af83edc41f4bfba0c80b428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3010299956639812,0.6020599913279624,5.575993421055878,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7de101d2e3244de3333bc3f875f71f46f7827d53,1.0,1.0,0.0,0.0,0.3010299956639812,0.3010299956639812,2.1382491913693746,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7decebf7d59b8234cc005fefd7b078630a901345,1.0,1.0,0.0,0.0,0.0,0.3010299956639812,5.342678533207404,1.0,1.0,0.0,0.0,0.47712125471966244,0.6020599913279624,5.015503759446977,False,1.0,True,0.0,False,0.0,False,0.45186058612750646,0.0
0x7dfe1fd814b4b9a167133092cb4b8e84b49c725b,1.0,1.0,3.0,0.0,0.0,0.0,3.8750612633917,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,False,0.0,False,0.0,False,0.0,0.0
0x7e06b4c65a6bcd3068e692a592211e29955f6566,1.0,1.0,0.0,0.0,0.0,0.3010299956639812,2.62697800393104,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,1.0,True,0.0,False,0.0,False,0.0,0.0
0x7e1377ef1e4e738a7919313127eb21b459aa087b,1.0,1.0,6.0,0.0,0.0,0.0,6.698970004336019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,2.0,True,0.0,False,0.0,False,1.1145657959087636,0.0
0x7e150fe83c1c429d27a7cd04172e892c3dbc507a,2.0,2.0,0.0,0.0,1.0791812460476249,1.0791812460476249,5.232585195714842,1.0,2.0,0.0,0.0,0.8450980400142568,0.8450980400142568,5.654569034361398,False,0.0,False,0.0,False,0.0,False,0.0,0.0
