HolderAddress,Balance
0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0.400001
0xbd723fc4f1d737dcfc48a07fe7336766d34cad5f,1.209273
0x03d70891b8994feb6cca7022b25c32be92ee3725,0.4
0xda38eea89e6d2cecf1c08a3955e838cd963ba5f8,3002.44694
0x34916349d43f65bccca11ff53a8e0382a1a594a7,350.910216
0x3ae6ffe9a1c678df93ed761259ab502c4cbf8adf,6.950111
0xeaef0befb9525bed3563c73bbc5ffd47761514cb,3045.965751
0xf02f10f3c355d01b03947301c31d59e26e6eb0e4,15208.55763
0xa20b43f00433e331128704c8846117ab8ed6d11b,21738.99363
0x847f07e2855430cfe3d88afd26ef4b6ac897b42e,664.712161
0x0e1337ea2c604f9a937d2623af206cdd02167b38,1000.000032
0xe04d779b643df2e4015450db71e77a1cbfff6817,1853.389149
0xc60b34e9dec83a47b665d150ccb1d9a8dd98acd6,18.881732
0x9617127dceccb323292031b2c189dca70f21e239,9.30E-05
0xce5948c251f683acfbf8185e416d53ebd7101b9b,1524.047917
0xc1276993c25f10cdaada4e89fc10ee88e984d738,8041.740545
0x79b03ba80a7aa612543f8445f8b1b944ece36fc8,16452.98836
0xf5426bf2c1839bf45a80c0d284d5925b6a4fb8d9,1285.56369
0xfe96e822189b0d2a58878126465e0f316edb05a1,0.004206
0x0c2dd743a134893d63ef1f796991c67dab24096b,2125.145406
0x090f74a8108e9120e3e5517503806a5a1a966406,20000.01321
0xe6cb101eba87c46db7bb1e27ad2bd73482837a1c,1225.963436
0x7a0f0e2940d9000b7da8b14b1a161304acf13d82,29014.59718
0x1cb9edf191a4f59188a02c78b5e52fccc3437ac0,0.156644
0xbaa71c3a5935463e5a0a6b297122a42fa19f0f8b,273.368779
0xf7080036e39c37c6b466373dab97c3e58e9dd575,1514.431585
0xd3140be49f2c17f8e7cd4d3a77d99cff864cff01,458.56873
0xb9fcc568eb01da09818ee1d1a7e57ab440fe4491,0.00145
0x1eb9426f329d46f5ee2263c030d6e9661f2ca694,231.636864
0x53ddb284b547c5794ead9293c02899667afb2d47,10911.47415
0xf3cc74b97ef594c76cc96a4a407758e1c9dacea8,11949.08016
0xd4f935181f2c19525416c8e0ba80f46f8cdacad3,451.47856
0x3f3f1501df473080ef8e8c28272d22daab1551a4,25407.1857
0x95bab1cc1784e4be6dd48f84f622da3594e4a45b,266.759138
0x3f6d04939d0e3da5f1dcb8cc07197a94569d1074,688528.9205
0xc6a4031f67ad5569173fc8b1c5b66d052b2fbeac,205.840239
0xe8b6f13765466e733c96a64ef0490bf6a9fa7b04,1205.365313
0xcf4045ebc54fde29d986e9bf7dfe548527744982,383.082285
0x230d08aac2119ae9ae662703aefe2c953b0ff72e,349.950717
0x66634a5014e37b4c16592bdf2ea65254de0db675,1.40E-05
0x35d1223cb4bd658c03a80a92c38bcdc60a965f5e,50.482554
0xdb951ae29095674872b60422b1e9573923053fb9,56.620172
0xf492327a87a1d181c245c94a06ff6593791ea511,110.028171
0x6c330857b908ec7a75ecc0d33b3a837a7592c652,0.741951
0x3ebbabdd60b7926cbc3567982e72d0ed848f8499,3744.549879
0x432aa45910889d6b699cb3f01fb9b84b70dd423e,50058.80229
0x4fe27a3898f69f35806e916a410b96d88f727abb,272.950594
0x0c2ac9ed47868d6ab9710df9dd55a70afe4eb838,81438.14433
0x15269568f9ca4d66130b11d845ae55e072089a02,333
0x152ad1bf404061fff6d893480de08ed64035bdf4,19258.03399
0x21556c2ddd8f6951cbc5a7bda92e43202b5ecbe6,207.033125
0xcf0c8edaf6efe3d1116e0cac536648b9964104cd,26.369584
0xf807ea9aa78d0615e1f87aeaf9ca2a660ff029f6,3159.996426
0xc21bf004cb97a8f8e0544b447415abd6edbdcc63,10623.0523
0x52fb62f5beab8e6609dd3b9a86ae7a7b827b2caa,4700.186683
0x16ae80df484a73bb2ce3cbd30d3100ce9a97fefa,140585.5418
0x30f1711ce238f28c3fe8d7327a5013912e9df781,1500.000028
0x74810f3d248123df5ad43525fbf33c95515985d8,263.135475
0x0b2d429e9c0ebdf30feb86e950080c2f4017c56e,82.684142
0x4614798ab4fd931dd522fbffd93bc8e699de5ac7,0.001946
0xddf9a07836caee5bb79c6cd97ca6fae94b8e6d56,237540.1145
0x1f3b8b348046fd920cf841005bd8deaf34f72d6c,1212.21134
0x3dd6c7ec5deebdb21458a2ca2522c3ddda5d7c90,12500
0xbf912cb4d1c3f93e51622fae0bfa28be1b4b6c6c,600.000023
0xd217178623bcef5c05bee5925e49e665bf8a1f3a,10191.60629
0x12de54791044b6fbce2680338e207e5aa18c5aa3,21622.28163
0xd0aec35dbbc493d6d6687829a1cf253bc213d7d3,0.010153
0x0b98c377b62702748898c5c4c9ccc2e2f35f084d,5069.906724
0xaa4c1150f7503d469b7252ed6c803d51b2a05c69,300
0x9e209f3fb3e26fe30a6c7d40e2b29185e79bd1e6,781.814279
0x23fc71198d9cab0f912cadbd08565a59ab0eae10,1738.468233
0xc8b83540606b3a8db402ba016be2d18200ee2c6d,104.968606
0xe38413308e48fff7b634ef3510bc304b8575c13d,57099.23861
0xc9176ae7b252096ce8924e0063e790c52d9da708,10299.60023
0x1ddc7a713036d78f55b6ecaa32099f42a7781b6f,800.000007
0xd039cfb1c6bbb9237077f44b2eed6ab890a22cf9,22786.96619
0xc071dc48e2b182921e9581f1e4275ab7594259f0,406.509974
0xf7b4db18a92c5a635f21ed65f33095f59d68ce42,1363.423427
0x2c58c76d62877e6dd877e3c7e40aa754e76e9b6a,595.427953
0xa1992346630fa9539bc31438a8981c646c6698f1,1189.186494
0xef63773801f5a409d2c124b1edae89379d696342,2171.466465
0x14973e49b9e1c2b5884cc84e9c839c4211e2f35b,4369.355491
0xa35f3fefecb5160327d1b6a210b60d1e1d7968e3,30
0x0d39023c538a3b00b406e50768d4c9d2a59c15c2,0.008648
